prod_sku,prod_Live_URL,prod_name,prod_long_desc,prod_type,prod_subcategory,prodmeta_section,prodmeta_ship_days,prodmeta_metal_weight,prodmeta_side_diamonds_count,prodmeta_side_diamonds_ctw,prodmeta_side_diamonds_color_clarity,prodmeta_side_diamonds1_count,attr_14k_regular,attr_14k_metal_available,attr_18k_regular,attr_18k_metal_available,attr_platinum_regular,attr_whitegold_platinum_round_default_img,attr_whitegold_platinum_round_img,attr_rosegold_round_default_img,attr_rosegold_round_img,attr_yellowgold_round_default_img,attr_yellowgold_round_img,attr_whitegold_yellow_round_default_img,attr_whitegold_yellow_round_img,attr_whitegold_rose_round_default_img,attr_whitegold_rose_round_img,attr_tricolor_round_default_img,attr_tricolor_round_img
1001,[prod_name}-[prod_sku],Square Framed Black Diamond Wedding Band,A beautiful Dora men's square framed black diamond wedding band with a center frame filled with black diamonds for a classic look.,Wedding Bands,"Black Diamond Men,White Gold Men,Men Wedding Band",Mens,3,,,,,13,2215,White Gold ,3150,White Gold ,,wedding-bands/127b01/shapes/round/127b01-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1002,[prod_name}-[prod_sku],Engraved Diamond Wedding Band,This Dora men's engraved diamond wedding band features an ornate design with an intricate engraving and round diamond accents.,Wedding Bands,"Diamond Men,White Gold Men,Men Wedding Band",Mens,3,,24,0.24ct.,F/G - VS/SI1,,2765,White Gold ,3515,White Gold ,,wedding-bands/138a03/shapes/round/138a03-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1003,[prod_name}-[prod_sku],Black Diamond Trim Wedding Band,A Dora men's black diamond trim wedding band with a brushed white gold finish and a black diamond trim in the center.,Wedding Bands,"Black Diamond Men,White Gold Men,Platinum Men,Men Wedding Band",Mens,4,,,,,65,1500,White Gold ,1990,White Gold ,2450,wedding-bands/178b01/shapes/round/178b01-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1004,[prod_name}-[prod_sku],Diamond Wedding Band 1841G,Men's White Gold Diamond Wedding Band 1841G,Wedding Bands,"Diamond Men,White Gold Men,Yellow Gold Men,Rose Gold Men,Platinum Men,Men Wedding Band",Mens,5,9.3 Grams,5,0.35ct.,F/G - VS/SI1,,2480,"White Gold, Rose Gold, Yellow Gold",3265,"White Gold, Rose Gold, Yellow Gold",3975,wedding-bands/1841/shapes/round/1841-whitegold_platinum_round_default.jpg,,wedding-bands/1841/shapes/round/1841-rosegold_round_default.jpg,,wedding-bands/1841/shapes/round/1841-yellowgold_round_default.jpg,,,,,,,
1005,[prod_name}-[prod_sku],3 Row Black Diamond Wedding Band,A stunning Dora men's 3 row black diamond wedding band with rows of shared prong set black diamonds adorning the center for a stylish look that will turn heads.,Wedding Bands,"Black Diamond Men,White Gold Men,Men Wedding Band",Mens,6,,,,,108,3125,White Gold ,3890,White Gold ,,wedding-bands/210b01/shapes/round/210b01-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1006,[prod_name}-[prod_sku],Men's Simple Domed Wedding Band,This Dora men's simple domed wedding band features chic polished tantalum that will never be out of style.,Wedding Bands,"Tantalum Men,White Gold Men,Men Wedding Band",Mens,7,,,,,,240,White Gold,,,,wedding-bands/292a25/shapes/round/292a25-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1007,[prod_name}-[prod_sku],Diamond Wedding Band 4345W,White Gold Diamond Wedding Band 4345W,Wedding Bands,"Diamond Women,White Gold Women,Yellow Gold Women,Rose Gold Women,Platinum Women,Women Wedding Band",Womens,8,4.6 Grams,12,0.42ct.,F/G - VS/SI1,,2145,"White Gold, Rose Gold, Yellow Gold",2535,"White Gold, Rose Gold, Yellow Gold",2890,wedding-bands/4345/shapes/round/4345-whitegold_platinum_round_default.jpg,,wedding-bands/4345/shapes/round/4345-rosegold_round_default.jpg,,wedding-bands/4345/shapes/round/4345-yellowgold_round_default.jpg,,,,,,,
1008,[prod_name}-[prod_sku],Men's Trim Wedding Band,A Dora men's trim wedding band with brushed tantalum and a simple center trim.,Wedding Bands,"Tantalum Men,White Gold Men,Men Wedding Band",Mens,9,,,,,,325,White Gold,,,,wedding-bands/533a02/shapes/round/533a02-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1009,[prod_name}-[prod_sku],Men's Rose Gold Criss Cross Wedding Band,A unique satin finished Dora men's rose gold criss cross wedding band featuring carbon fiber and a stunning criss cross design that will truly be a conversation starter.,Wedding Bands,"Carbon Fiber Men,Rose Gold Men,Men Wedding Band",Mens,10,,,,,,1140,Rose Gold,,,,,,wedding-bands/556b03/shapes/round/556b03-rosegold_round_default.jpg,,,,,,,,,
1010,[prod_name}-[prod_sku],Men's Polished Edge Wedding Band,"This stunning Dora men's polished edge wedding band features brushed tantalum with polished edges, a classic you can never go wrong with.",Wedding Bands,"Tantalum Men,White Gold Men,Men Wedding Band",Mens,11,,,,,,240,White Gold,,,,wedding-bands/574a12/shapes/round/574a12-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1011,[prod_name}-[prod_sku],Offset Black Diamond Wedding Band,A classic Dora men's offset black diamond wedding band with a brushed white gold finish and a thin offset trim of black diamonds.,Wedding Bands,"Black Diamond Men,White Gold Men,Men Wedding Band",Mens,12,,,,,45,2325,White Gold ,3125,White Gold ,,wedding-bands/577a11/shapes/round/577a11-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1012,[prod_name}-[prod_sku],Mens Black Wedding Band,A Dora mens black wedding band with warm yellow gold edges and brushed carbon fiber. A classic that will surely never go out of style.,Wedding Bands,"Carbon Fiber Men,Yellow Gold Men,Men Wedding Band",Mens,13,,,,,,725,Yellow Gold,,,,,,,,wedding-bands/586b00/shapes/round/586b00-yellowgold_round_default.jpg,,,,,,,
1013,[prod_name}-[prod_sku],Men's Beveled Edge Wedding Band,This classic yet sleek Dora men's beveled edge wedding band features a white gold band with carbon fiber accents. A perfect ring choice for minimalists.,Wedding Bands,"Carbon Fiber Men,White Gold Men,Men Wedding Band",Mens,14,,,,,,800,White Gold,,,,wedding-bands/588b00/shapes/round/588b00-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1014,[prod_name}-[prod_sku],Men's Modern Wedding Band,A modern yet timeless Dora men's wedding band featuring white gold and a carbon fiber trim that you can never go wrong with.,Wedding Bands,"Carbon Fiber Men,White Gold Men,Men Wedding Band",Mens,15,,,,,,950,White Gold,,,,wedding-bands/589b00/shapes/round/589b00-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1015,[prod_name}-[prod_sku],Men's Rose Gold Wedding Band,A stunning comfort fit Dora men's rose gold wedding band with brushed carbon fiber and polished rose gold edges that will surely stay on trend.,Wedding Bands,"Carbon Fiber Men,Rose Gold Men,Men Wedding Band",Mens,16,,,,,,850,Rose Gold,,,,,,wedding-bands/591b00/shapes/round/591b00-rosegold_round_default.jpg,,,,,,,,,
1016,[prod_name}-[prod_sku],Link Diamond Wedding Band,This Dora men's link diamond wedding band design is inspired by the elegance of watch links with an added sparkle of round diamonds.,Wedding Bands,"Diamond Men,White Gold Men,Men Wedding Band",Mens,17,,6,0.6ct.,F/G - VS/SI1,,4190,White Gold ,5025,White Gold ,,wedding-bands/592a00/shapes/round/592a00-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1017,[prod_name}-[prod_sku],Men's Beveled Edge Rose Gold Wedding Band,"Classic Dora men's beveled edge rose gold wedding band with brushed carbon figer and rose gold with beveled edges. A simple, but timeless piece.",Wedding Bands,"Carbon Fiber Men,Rose Gold Men,Men Wedding Band",Mens,18,,,,,,790,Rose Gold,,,,,,wedding-bands/592b00/shapes/round/592b00-rosegold_round_default.jpg,,,,,,,,,
1018,[prod_name}-[prod_sku],Men's Bezel Diamond Wedding Band,This modern Dora men's bezel diamond wedding band features carbon fiber with polished white gold detailing and a round diamond. The perfect ratio of sleek and classy.,Wedding Bands,"Carbon Fiber Men,White Gold Men,Men Wedding Band",Mens,19,,1,0.04ct.,F/G - VS/SI1,,1015,White Gold,,,,wedding-bands/592b02/shapes/round/592b02-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1019,[prod_name}-[prod_sku],Men's 3 Stone Bezel Diamond Wedding Band,This beautiful Dora men's 3 stone bezel diamond wedding band features carbon fiber and white gold with 3 bezel set diamonds.,Wedding Bands,"Carbon Fiber Men,White Gold Men,Men Wedding Band",Mens,20,,3,0.12ct.,F/G - VS/SI1,,1240,White Gold,,,,wedding-bands/592b03/shapes/round/592b03-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1020,[prod_name}-[prod_sku],Men's Thick Rose Gold Wedding Band,This simple yet bold Dora men's thick rose gold wedding band features brushed carbon fiber and polished rose gold edges.,Wedding Bands,"Carbon Fiber Men,Rose Gold Men,Men Wedding Band",Mens,21,,,,,,990,Rose Gold,,,,,,wedding-bands/593b00/shapes/round/593b00-rosegold_round_default.jpg,,,,,,,,,
1021,[prod_name}-[prod_sku],Men's Yellow Gold Bezel Diamond Wedding Band,This Dora men's yellow gold bezel diamond wedding band features vibrant yellow gold and carbon fiber with a single bezel set diamond.,Wedding Bands,"Carbon Fiber Men,Yellow Gold Men,Men Wedding Band",Mens,22,,1,0.04ct.,F/G - VS/SI1,,1165,Yellow Gold,,,,,,,,wedding-bands/593b02/shapes/round/593b02-yellowgold_round_default.jpg,,,,,,,
1022,[prod_name}-[prod_sku],Men's Rose Gold And Carbon Fiber Trim Wedding Band,A comfort fit Dora men's rose gold and carbon fiber trim wedding band featuring tantalum with a rose gold center trim and 2 equally spaced carbon fiber trims.,Wedding Bands,"Tantalum Men,Rose Gold Men,Men Wedding Band",Mens,23,,,,,,825,Rose Gold,,,,,,wedding-bands/593b04/shapes/round/593b04-rosegold_round_default.jpg,,,,,,,,,
1023,[prod_name}-[prod_sku],Men's Milgrain Rose Gold Wedding Band,"A beautiful Dora men's milgrain wedding band with brushed carbon fiber, subtle milgrain detailing and polished rose gold.",Wedding Bands,"Carbon Fiber Men,Rose Gold Men,Men Wedding Band",Mens,24,,,,,,865,Rose Gold,,,,,,wedding-bands/595b00/shapes/round/595b00-rosegold_round_default.jpg,,,,,,,,,
1024,[prod_name}-[prod_sku],Men's Inlay Yellow Gold Wedding Band,"A unique Dora men's inlay yellow gold wedding band with double carbon fiber inlays and yellow gold for those who want something different, but simple.",Wedding Bands,"Carbon Fiber Men,Yellow Gold Men,Men Wedding Band",Mens,25,,,,,,1075,Yellow Gold,,,,,,,,wedding-bands/596b00/shapes/round/596b00-yellowgold_round_default.jpg,,,,,,,
1025,[prod_name}-[prod_sku],Unique Men's Diamond Wedding Band,This Dora unique men's diamond wedding band features a raised center pattern and round diamonds for a special elegant look.,Wedding Bands,"Diamond Men,White Gold Men,Platinum Men,Men Wedding Band",Mens,26,,12,0.144ct.,F/G - VS/SI1,,2175,White Gold ,2990,White Gold ,3665,wedding-bands/599a00/shapes/round/599a00-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1026,[prod_name}-[prod_sku],Angled Channel Diamond Wedding Band,This Dora men's angled channel diamond wedding band features an angled slot channel set with round diamonds.,Wedding Bands,"Diamond Men,White Gold Men,Platinum Men,Men Wedding Band",Mens,27,,3,0.12ct.,F/G - VS/SI1,,1875,White Gold ,2565,White Gold ,3165,wedding-bands/606a03/shapes/round/606a03-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1027,[prod_name}-[prod_sku],Blue And White Diamond Wedding Band,This unique blue and white diamond wedding band features a center row of channel set blue diamonds artfully encased in a zigzag pattern with pave set diamonds framing the sides and a milgrain finish.,Wedding Bands,"Blue Diamond Women,White Gold Women,Platinum Women,Women Wedding Band",Womens,28,7.4 Grams,30,0.58ct.,F/G - VS/SI1,11,6055,White Gold,6685,White Gold,7250,wedding-bands/6094lbd/shapes/round/6094lbd-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1028,[prod_name}-[prod_sku],Men's Carbon Fiber And Rose Gold Trim Wedding Band,"A Dora men's carbon fiber and rose gold trim wedding band with a tantalum interior, carbon fiber exterior and a rose gold trim.",Wedding Bands,"Tantalum Men,Rose Gold Men,Men Wedding Band",Mens,29,,,,,,650,Rose Gold,,,,,,wedding-bands/618a05/shapes/round/618a05-rosegold_round_default.jpg,,,,,,,,,
1029,[prod_name}-[prod_sku],Men's Brushed Inlay Wedding Band,A beautiful Dora men's brushed inlay wedding band featuring shiny polished tantalum with a contrasting brushed inlay. This ring exhibits the perfect balance of sleek and class.,Wedding Bands,"Tantalum Men,White Gold Men,Men Wedding Band",Mens,10,,,,,,325,White Gold,,,,wedding-bands/622a09/shapes/round/622a09-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1030,[prod_name}-[prod_sku],Men's White Gold And Carbon Fiber Trim Wedding Band,This Dora men's white gold and carbon fiber trim wedding band features tantalum and brushed carbon fiber trims with a polished white gold center.,Wedding Bands,"Tantalum Men,White Gold Men,Men Wedding Band",Mens,11,,,,,,790,White Gold,,,,wedding-bands/626a04/shapes/round/626a04-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1031,[prod_name}-[prod_sku],Men's Domed Brushed Wedding Band,A modern Dora men's domed brushed wedding band featuring brushed tantalum that will never go out of style.,Wedding Bands,"Tantalum Men,White Gold Men,Men Wedding Band",Mens,12,,,,,,240,White Gold,,,,wedding-bands/631b06/shapes/round/631b06-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1032,[prod_name}-[prod_sku],Two Tone Trim Diamond Wedding Band,This Dora men's two tone trim diamond wedding band features a yellow gold band with a white gold trim and round diamonds in the center.,Wedding Bands,"Diamond Men,Two Tone Men,Men Wedding Band",Mens,13,,7,0.07ct.,F/G - VS/SI1,,1650,WYG,2200,WYG,,,,,,,,wedding-bands/639a23/shapes/round/639a23-whitegold_yellow_round_default.jpg,,,,,
1033,[prod_name}-[prod_sku],Men's Asymmetrical Two Tone Wedding Band,This gorgeous Dora men's asymmetrical two tone wedding band features tantalum with white and rose gold inlays that will surely turn a few heads.,Wedding Bands,"Tantalum Men,Men Wedding Band",Mens,14,,,,,,675,WRG,,,,,,,,,,,,wedding-bands/649a01/shapes/round/649a01-whitegold_rose_round_default.jpg,,,
1034,[prod_name}-[prod_sku],Three Row Diamond Wedding Band,This three row diamond wedding band features channel set diamonds in the center surrounded by two rows of pave set diamonds and a milgrain finish for a stunning look.,Wedding Bands,"Diamond Women,White Gold Women,Yellow Gold Women,Rose Gold Women,Platinum Women,Women Wedding Band",Womens,15,6.2 Grams,50,0.62ct.,F/G - VS/SI1,,3530,"White Gold, Rose Gold, Yellow Gold",4050,"White Gold, Rose Gold, Yellow Gold",4525,wedding-bands/6502/shapes/round/6502-whitegold_platinum_round_default.jpg,,wedding-bands/6502/shapes/round/6502-rosegold_round_default.jpg,,wedding-bands/6502/shapes/round/6502-yellowgold_round_default.jpg,,,,,,,
1035,[prod_name}-[prod_sku],Three Row Blue And White Diamond Wedding Band,This three row blue and white diamond wedding band features channel set blue diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Wedding Bands,"Blue Diamond Women,Channel Women,White Gold Women,Platinum Women,Women Wedding Band",Womens,16,6.2 Grams,36,0.27ct.,F/G - VS/SI1,14,3615,White Gold,4140,White Gold,4610,wedding-bands/6502lbd/shapes/round/three-row-blue-and-white-diamond-wedding-band.jpg,"wedding-bands/6502lbd/shapes/round/three-row-blue-and-white-diamond-wedding-band-on-hand.jpg,wedding-bands/6502lbd/shapes/round/three-row-blue-and-white-diamond-wedding-band-on-hand2.jpg",,,,,,,,,,
1036,[prod_name}-[prod_sku],Three Row Black And White Diamond Wedding Band,This three row black and white diamond wedding band features channel set black diamonds in the center surrounded by two rows of pave set white diamonds and a milgrain finish for a stunning look.,Wedding Bands,"Black Diamond Women,Channel Women,White Gold Women,Platinum Women,Women Wedding Band",Womens,17,6.2 Grams,36,0.27ct.,F/G - VS/SI1,14,3155,White Gold,3675,White Gold,4150,wedding-bands/6502lbk/shapes/round/three-row-black-and-white-diamond-wedding-band.jpg,,,,,,,,,,,
1037,[prod_name}-[prod_sku],Men's Textured Wedding Band,This Dora men's textured wedding band features a beautiful polished white gold band with a textured carbon fiber center.,Wedding Bands,"Carbon Fiber Men,White Gold Men,Men Wedding Band",Mens,18,,,,,,1225,White Gold,,,,wedding-bands/650b01/shapes/round/650b01-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1038,[prod_name}-[prod_sku],Mens Gold Diamond Wedding Band,A clean men's gold diamond wedding band featuring a single channel set diamond for an elegant look.,Wedding Bands,"Diamond Men,White Gold Men,Yellow Gold Men,Rose Gold Men,Platinum Men,Men Wedding Band",Mens,19,10.8 Grams,1,0.09ct.,F/G - VS/SI1,,1945,"White Gold, Rose Gold, Yellow Gold",2860,"White Gold, Rose Gold, Yellow Gold",3685,wedding-bands/6548g/shapes/round/6548g-whitegold_platinum_round_default.jpg,,wedding-bands/6548g/shapes/round/6548g-rosegold_round_default.jpg,,wedding-bands/6548g/shapes/round/6548g-yellowgold_round_default.jpg,,,,,,,
1039,[prod_name}-[prod_sku],Men's Rose Gold Interior Wedding Band,Stunning Dora men's rose gold interior wedding band with brushed tantalum and a high polish rose gold interior. Subtlety at its finest.,Wedding Bands,"Tantalum Men,Rose Gold Men,Men Wedding Band",Mens,20,,,,,,1040,Rose Gold,,,,,,wedding-bands/656b02/shapes/round/656b02-rosegold_round_default.jpg,,,,,,,,,
1040,[prod_name}-[prod_sku],Men's Domed Wedding Band,This Dora men's domed wedding band shows off a gorgeous brushed carbon fiber with a contrasting white gold strip running across the center.,Wedding Bands,"Carbon Fiber Men,White Gold Men,Men Wedding Band",Mens,21,,,,,,1140,White Gold,,,,wedding-bands/657b00/shapes/round/657b00-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1041,[prod_name}-[prod_sku],Simple Black Diamond Wedding Band,This Dora men's simple black diamond wedding band features a polished slim trim in the middle adorned with 8 black diamonds.,Wedding Bands,"Black Diamond Men,White Gold Men,Platinum Men,Men Wedding Band",Mens,22,,,,,8,1515,White Gold ,2065,White Gold ,2565,wedding-bands/664b00/shapes/round/664b00-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1042,[prod_name}-[prod_sku],Hammered Black Diamond Wedding Band,A beautiful Dora men's hammered black diamond wedding band with a stunning hammered finish and black diamonds decorating the center.,Wedding Bands,"Black Diamond Men,White Gold Men,Men Wedding Band",Mens,23,,,,,22,1750,White Gold ,2390,White Gold ,,wedding-bands/665b00/shapes/round/665b00-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1043,[prod_name}-[prod_sku],Men's Inlay Diamond Wedding Band,"A beautiful Dora men's inlay diamond wedding band featuring carbon fiber, white gold and a row of gorgeous diamonds in the center.",Wedding Bands,"Carbon Fiber Men,White Gold Men,Men Wedding Band",Mens,24,,7,0.119ct.,F/G - VS/SI1,,1575,White Gold,,,,wedding-bands/667b00/shapes/round/667b00-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1044,[prod_name}-[prod_sku],Men's Black Diamond Wedding Band,A unique Dora men's black diamond wedding band featuring carbon fiber with a row of 5 stunning black diamonds front and center.,Wedding Bands,"Carbon Fiber Men,White Gold Men,Men Wedding Band,Black Diamond Men",Mens,25,,,,,5,1240,White Gold,,,,wedding-bands/668b00/shapes/round/668b00-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1045,[prod_name}-[prod_sku],Men's Black Diamond Trim Wedding Band,This captivating Dora men's black diamond trim wedding band features carbon fiber and a white gold trim with 5 gorgeous black diamonds.,Wedding Bands,"Carbon Fiber Men,White Gold Men,Men Wedding Band,Black Diamond Men",Mens,10,,,,,5,1300,White Gold,,,,wedding-bands/669b00/shapes/round/669b00-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1046,[prod_name}-[prod_sku],Men's Yellow Gold And Black Diamond Wedding Band,"This Dora men's yellow gold and black diamond wedding band is made with carbon fiber, 14k yellow gold and adorned with columns of black diamonds for a look of sheer elegance.",Wedding Bands,"Carbon Fiber Men,Yellow Gold Men,Men Wedding Band,Black Diamond Men",Mens,11,,,,,15,1240,Yellow Gold,,,,,,,,wedding-bands/670b00/shapes/round/670b00-yellowgold_round_default.jpg,,,,,,,
1047,[prod_name}-[prod_sku],Men's Asymmetrical Wedding Band,A classy Dora men's asymmetrical wedding band with brushed carbon fiber and white gold.,Wedding Bands,"Carbon Fiber Men,White Gold Men,Men Wedding Band",Mens,12,,,,,,1250,White Gold,,,,wedding-bands/671b00/shapes/round/671b00-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1048,[prod_name}-[prod_sku],Unique Ornate Wedding Band,"This unique ornate wedding band features a beautiful crossing center section adorned with channel set diamonds, while pave set diamonds grace the side ridges for a look of pure sophistication.",Wedding Bands,"Diamond Women,White Gold Women,Tri Color Women,Platinum Women,Women Wedding Band",Womens,13,9.8 Grams,52,1.07ct.,F/G - VS/SI1,,5510,"White Gold, Tri Color",6335,"White Gold, Tri Color",7080,wedding-bands/6723/shapes/round/6723-whitegold_platinum_round_default.jpg,wedding-bands/6723/shapes/round/6723-whitegold_platinum_round_1.jpg,,,,,,,,,wedding-bands/6723/shapes/round/6723-tricolor_round_default.jpg,wedding-bands/6723/shapes/round/6723-tricolor_round_1.jpg
1049,[prod_name}-[prod_sku],Mens Unique Diamond Wedding Band,This unique mens diamond wedding band features two shoulders that meet at the center with a channel set round diamond for a distinctively different look.,Wedding Bands,"Diamond Men,White Gold Men,Two Tone Men,Platinum Men,Men Wedding Band",Mens,14,15 Grams,1,0.13ct.,F/G - VS/SI1,,2670,"White Gold, WRG, WYG",3935,"White Gold, WRG, WYG",5080,wedding-bands/6842g/shapes/round/6842g-whitegold_platinum_round_default.jpg,,,,,,wedding-bands/6842g/shapes/round/6842g-whitegold_yellow_round_default.jpg,,wedding-bands/6842g/shapes/round/6842g-whitegold_rose_round_default.jpg,,,
1050,[prod_name}-[prod_sku],Mens Open Ridge Diamond Wedding Band,This mens open ridge diamond wedding band features a comfort fit shank with beveled edges and two channel set round diamonds.,Wedding Bands,"Diamond Men,White Gold Men,Platinum Men,Men Wedding Band",Mens,15,14.3 Grams,2,0.22ct.,F/G - VS/SI1,,2810,White Gold ,4020,White Gold ,5110,wedding-bands/6921g/shapes/round/6921g-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1051,[prod_name}-[prod_sku],Mens Inlay Wedding Band,This mens inlay wedding band features a comfort fit shank with a burnish set round diamond and an inlay accenting the overall design.,Wedding Bands,"Diamond Men,White Gold Men,Two Tone Men,Platinum Men,Men Wedding Band",Mens,16,15.3 Grams,1,0.20ct.,F/G - VS/SI1,,3085,"White Gold, WRG, WYG",4380,"White Gold, WRG, WYG",5545,wedding-bands/6923g/shapes/round/6923g-whitegold_platinum_round_default.jpg,,,,,,wedding-bands/6923g/shapes/round/6923g-whitegold_yellow_round_default.jpg,,wedding-bands/6923g/shapes/round/6923g-whitegold_rose_round_default.jpg,,,
1052,[prod_name}-[prod_sku],Criss Cross Wedding Band,This criss cross wedding band features three bands artfully overlapping over the shoulders with pave set diamonds and a milgrain finish on one of them.,Wedding Bands,"Diamond Women,White Gold Women,Two Tone Women,Tri Color Women,Platinum Women,Women Wedding Band",Womens,17,6.2 Grams,24,0.24ct.,F/G - VS/SI1,,2065,"White Gold, WRG, WYG, Tri Color",2590,"White Gold, WRG, WYG, Tri Color",3060,wedding-bands/6950/shapes/round/6950-whitegold_platinum_round_default.jpg,"wedding-bands/6950/shapes/round/6950-whitegold_platinum_round_1.jpg,wedding-bands/6950/shapes/round/6950-whitegold_platinum_round_2.jpg",,,,,wedding-bands/6950/shapes/round/6950-whitegold_yellow_round_default.jpg,,wedding-bands/6950/shapes/round/6950-whitegold_rose_round_default.jpg,,wedding-bands/6950/shapes/round/6950-tricolor_round_default.jpg,
1053,[prod_name}-[prod_sku],Criss Cross Black Diamond Accent Wedding Band,This criss cross black diamond accent wedding band features three bands artfully overlapping over the shoulders with pave set black and white diamonds and a milgrain finish on two of them.,Wedding Bands,"Black Diamond Women,White Gold Women,Platinum Women,Women Wedding Band",Womens,18,6.2 Grams,24,0.24ct.,F/G - VS/SI1,24,2860,White Gold,3380,White Gold,3855,wedding-bands/6950lbk/shapes/round/6950lbk-whitegold_platinum_round_default.jpg,,,,,,,,,,,
1054,[prod_name}-[prod_sku],Unique Trim Wedding Band,This unique trim wedding band features an open shank channel set with 3 diamonds and an accent curving trim adorned with pave set diamonds.,Wedding Bands,"Tri Color Women,White Gold Women,Platinum Women,Women Wedding Band",Womens,19,10.1 Grams,34,0.84ct.,F/G - VS/SI1,,5225,"White Gold, Tri Color",6075,"White Gold, Tri Color",6845,wedding-bands/6986l/shapes/round/6986l-whitegold_platinum_round_default.jpg,,,,,,,,,,wedding-bands/6986l/shapes/round/6986l-tricolor_round_default.jpg,
1055,[prod_name}-[prod_sku],Wavy Wedding Band,This beautiful wavy wedding band features 2 channel set diamonds with a unique wavy design and pave set diamonds for extra sparkle.,Wedding Bands,"Diamond Women,White Gold Women,Two Tone Women,Tri Color Women,Platinum Women,Women Wedding Band",Womens,20,10 Grams,18,0.61ct.,F/G - VS/SI1,,3740,"White Gold, WRG, WYG, Tri Color",4580,"White Gold, WRG, WYG, Tri Color",5345,wedding-bands/7001/shapes/round/7001-whitegold_platinum_round_default.jpg,,,,,,wedding-bands/7001/shapes/round/7001-whitegold_yellow_round_default.jpg,,wedding-bands/7001/shapes/round/7001-whitegold_rose_round_default.jpg,,wedding-bands/7001/shapes/round/7001-tricolor_round_default.jpg,
1056,[prod_name}-[prod_sku],Unique Vintage Diamond Wedding Band,A unique vintage diamond wedding band featuring a round center with a crossing section pave set with diamonds and two larger channel set diamond accents. The outer ridges are also adorned with diamonds along with a milgrain finish for a touch of elegance.,Wedding Bands,"Diamond Women,White Gold Women,Tri Color Women,Platinum Women,Women Wedding Band",Womens,21,9.7 Grams,63,0.93ct.,F/G - VS/SI1,,5865,"White Gold, Tri Color",6680,"White Gold, Tri Color",7420,wedding-bands/7014l/shapes/round/7014l-whitegold_platinum_round_default.jpg,,,,,,,,,,wedding-bands/7014l/shapes/round/7014l-tricolor_round_default.jpg,
1057,[prod_name}-[prod_sku],Antique Wedding Band,This antique wedding band features a center section adorned with pave and channel set diamonds while pave set diamonds rest on the outer ridges of the shank with a milgrain finish.,Wedding Bands,"Diamond Women,White Gold Women, Platinum Women,Two Tone Women,Women Wedding Band",Womens,22,11.8 Grams,85,0.98ct.,F/G - VS/SI1,,5975,"White Gold, WRG",6970,"White Gold, WRG",7865,wedding-bands/7016l/shapes/round/7016l-whitegold_platinum_round_default.jpg,,,,,,,,wedding-bands/7016l/shapes/round/7016l-whitegold_rose_round_default.jpg,,,
